handouts/240 Alternate Proofs on Turing Machines.pdf,,,
handouts/250 Extra Practice Problems.pdf,,,
handouts/250S Solutions to Extra Practice Problems.pdf,,,
handouts/280 Extra Practice Problems 2.pdf,,,
handouts/280S Solutions to Extra Practice Problems 2.pdf,,,
handouts/290 Practice CS103 Final.pdf,,,
handouts/310 Additional Practice Final 1.pdf,,,
handouts/310S Additional Practice Final 1 Solutions.pdf,,,
handouts/320 Additional Practice Final 2.pdf,,,
handouts/320S Additional Practice Final 2 Solutions.pdf,,,
handouts/340 CS103 Final Exam.pdf,,,
handouts/340S CS103 Final Exam Solutions.pdf,,,
handouts/060 Discussion Problems 1.pdf,,,
handouts/060S Discussion Solutions 1.pdf,,,
handouts/090 Discussion Problems 2.pdf,,,
handouts/090S Discussion Solutions 2.pdf,,,
handouts/110 Discussion Problems 3.pdf,,,
handouts/110S Discussion Solutions 3.pdf,,,
handouts/130 Discussion Problems 4.pdf,,,
handouts/130S Discussion Solutions 4.pdf,,,
handouts/210 Discussion Problems 5.pdf,,,
handouts/210S Discussion Solutions 5.pdf,,,
handouts/230 Discussion Problems 6.pdf,,,
handouts/230S Discussion Solutions 6.pdf,,,
handouts/270 Discussion Problems 7.pdf,,,
handouts/270S Discussion Solutions 7.pdf,,,
handouts/330 Discussion Problems 8.pdf,,,
handouts/330S Discussion Solutions 8.pdf,,,
handouts/050 Problem Set 1.pdf,,,
handouts/050C Problem Set 1 Checkpoint Solutions.pdf,,,
handouts/050S Problem Set 1 Solutions.pdf,,,
handouts/080 Problem Set 2.pdf,,,
handouts/080C Problem Set 2 Checkpoint Solutions.pdf,,,
handouts/080S Problem Set 2 Solutions.pdf,,,
handouts/100 Problem Set 3.pdf,,,
handouts/100C Problem Set 3 Checkpoint Solutions.pdf,,,
handouts/100S Problem Set 3 Solutions.pdf,,,
handouts/120 Problem Set 4.pdf,,,
handouts/120C Problem Set 4 Checkpoint Solutions.pdf,,,
handouts/120S Problem Set 4 Solutions.pdf,,,
handouts/170 Problem Set 5.pdf,,,
handouts/170S Problem Set 5 Solutions.pdf,,,
handouts/200 Problem Set 6.pdf,,,
handouts/200S Problem Set 6 Solutions.pdf,,,
handouts/220 Problem Set 7.pdf,,,
handouts/220S Problem Set 7 Solutions.pdf,,,
handouts/260 Problem Set 8.pdf,,,
handouts/260S Problem Set 8 Solutions.pdf,,,
handouts/300 Problem Set 9.pdf,,,
handouts/300S Problem Set 9 Solutions.pdf,,,
,,handouts/060 Discussion Problems 1.pdf,
,,handouts/090 Discussion Problems 2.pdf,
,,handouts/110 Discussion Problems 3.pdf,
,,handouts/130 Discussion Problems 4.pdf,
,,handouts/210 Discussion Problems 5.pdf,
,,handouts/230 Discussion Problems 6.pdf,
,,handouts/270 Discussion Problems 7.pdf,
,,handouts/330 Discussion Problems 8.pdf,
,,,handouts/300 Problem Set 9.pdf
,,,handouts/260 Problem Set 8.pdf
,,,handouts/220 Problem Set 7.pdf
,,,handouts/200 Problem Set 6.pdf
,,,handouts/170 Problem Set 5.pdf
,,,handouts/120 Problem Set 4.pdf
,,,handouts/100 Problem Set 3.pdf
,,,handouts/080 Problem Set 2.pdf
,,,handouts/050 Problem Set 1.pdf
,,,handouts/020 Problem Set Policies.pdf
,,,handouts/020 Problem Set Policies.pdf
,,,handouts/050 Problem Set 1.pdf
,,,handouts/050C Problem Set 1 Checkpoint Solutions.pdf
,,,handouts/050S Problem Set 1 Solutions.pdf
,,,handouts/080 Problem Set 2.pdf
,,,handouts/080C Problem Set 2 Checkpoint Solutions.pdf
,,,handouts/080S Problem Set 2 Solutions.pdf
,,,handouts/100 Problem Set 3.pdf
,,,handouts/100C Problem Set 3 Checkpoint Solutions.pdf
,,,handouts/100S Problem Set 3 Solutions.pdf
,,,handouts/120 Problem Set 4.pdf
,,,handouts/120C Problem Set 4 Checkpoint Solutions.pdf
,,,handouts/120S Problem Set 4 Solutions.pdf
,,,handouts/170 Problem Set 5.pdf
,,,handouts/170S Problem Set 5 Solutions.pdf
,,,handouts/200 Problem Set 6.pdf
,,,handouts/200S Problem Set 6 Solutions.pdf
,,,handouts/220 Problem Set 7.pdf
,,,handouts/220S Problem Set 7 Solutions.pdf
,,,handouts/260 Problem Set 8.pdf
,,,handouts/260S Problem Set 8 Solutions.pdf
,,,handouts/300 Problem Set 9.pdf
,,,handouts/300S Problem Set 9 Solutions.pdf
handouts,lectures,discussion_problems,file_urls,assignments,files
,,,http://www.stanford.edu/class/cs103/handouts/000%20Course%20Information.pdf,,"[{'url': 'http://www.stanford.edu/class/cs103/handouts/000%20Course%20Information.pdf', 'path': 'full/95a91d99c6f8240446bc5511c056c470ad8bcfcb.pdf', 'checksum': '0db296ce9514fc3a6858a45244ca96a5'}]"
handouts,lectures,discussion_problems,file_urls,assignments,files
,,,,,
handouts,lectures,discussion_problems,file_urls,assignments,files
,,,,,
